date,value
2010-08-28,57.53561084234744
2010-08-29,28.334317400298
2010-08-30,62.56531956103069
2010-08-31,165.163642718991
2010-09-01,63.39434970558449
2010-09-02,100.46235368145601
2010-09-03,91.154816484966
2010-09-04,91.903453566204
2010-09-05,110.439949918356
2010-09-06,103.03265134944
2010-09-07,47.268061967082
2010-09-08,47.28915146896992
2010-09-09,61.97531512655116
2010-09-10,35.770158252
2010-09-11,35.458361173284
2010-09-12,56.463342076188
2010-09-13,103.21813552302
2010-09-14,73.99448437519652
2010-09-15,199.81433250170997
2010-09-16,372.91634806608
2010-09-17,246.97665576238802
2010-09-18,142.79606636248798
2010-09-19,128.38610495163
2010-09-20,116.6634985425
2010-09-21,59.458723276446
2010-09-22,105.273750590388
2010-09-23,248.954087847024
2010-09-24,64.46424910356001
2010-09-25,86.286000417516
2010-09-26,73.31822834975999
2010-09-27,107.744075138952
2010-09-28,272.1828243529215
2010-09-29,88.781902538994
2010-09-30,116.01858404050199
2010-10-01,127.59974209011445
2010-10-02,1051.420383752448
2010-10-03,132.15592109787602
2010-10-04,248.130857678892
2010-10-05,373.6196066830665
2010-10-06,313.0374931025099
2010-10-07,369.266981092632
2010-10-08,658.4052068545001
2010-10-09,1455.523368264
2010-10-10,1237.632439995504
2010-10-11,346.56722180308805
2010-10-12,693.383967778824
2010-10-13,369.38078728618
2010-10-14,862.6923784871601
2010-10-15,462.20310727609706
2010-10-16,1176.556178587176
2010-10-17,131.17081675335
2010-10-18,357.70137169107
2010-10-19,358.32772197687
2010-10-20,537.426833422401
2010-10-21,618.75785423145
2010-10-22,310.62262802142004
2010-10-23,261.983679416184
2010-10-24,1183.234569490402
2010-10-25,1150.621336631286
2010-10-26,1492.1960483645105
2010-10-27,3107.7953626487283
2010-10-28,2794.6035865546123
2010-10-29,1930.503816
2010-10-30,1264.102423907189
2010-10-31,1713.3188556891992
2010-11-01,911.99040063148
2010-11-02,889.1830549959799
2010-11-03,1273.97793211227
2010-11-04,8192.69786282166
2010-11-05,2127.522147385008
2010-11-06,8479.349917678324
2010-11-07,3289.1668000000004
2010-11-08,86036.58812374139
2010-11-09,2334.1332100065842
2010-11-10,2773.85222406336
2010-11-11,1173.8629236451259
2010-11-12,866.6754700723201
2010-11-13,1408.9840817734498
2010-11-14,2723.80335236064
2010-11-15,5008.432348826999
2010-11-16,1936.5459142417922
2010-11-17,2250.3000940951997
2010-11-18,2310.454972480032
2010-11-19,1443.162172314064
2010-11-20,3462.1497851460244
2010-11-21,3356.9937996095523
2010-11-22,1182.610420453345
2010-11-23,2571.446239365276
2010-11-24,2009.967266270439
2010-11-25,3009.68976
2010-11-26,6170.61248258126
2010-11-27,1521.696541165985
2010-11-28,925.5853564711599
2010-11-29,2311.3418982668277
2010-11-30,3244.993245937128
2010-12-01,2418.9246967219856
2010-12-02,2152.6760938558195
2010-12-03,1443.245791413
2010-12-04,2801.100590914104
2010-12-05,1014.3510954627479
2010-12-06,3460.9795198135926
2010-12-07,3048.926412294377
2010-12-08,924.212855745852
2010-12-09,1191.8151350124
2010-12-10,613.57364198746
2010-12-11,1532.566462478016
2010-12-12,810.2247795485999
2010-12-13,4324.5828431875525
2010-12-14,818.1835073032534
2010-12-15,1931.86356360486
2010-12-16,1154.824375
2010-12-17,847.4795282472573
2010-12-18,1576.332514145025
2010-12-19,9187.9871155979
2010-12-20,1857.4490374496195
2010-12-21,4089.5257226912645
2010-12-22,1643.1964654190024
2010-12-23,554.40237344856
2010-12-24,658.41033976125
2010-12-25,919.5791260684
2010-12-26,555.86223593615
2010-12-27,3816.647183813022
2010-12-28,1141.9883139276694
2010-12-29,3632.9658590817958
2010-12-30,2320.9829999999997
2010-12-31,1220.1723
2011-01-01,1126.9386
2011-01-02,2102.5269
2011-01-03,2318.02301428344
2011-01-04,988.513215844521
2011-01-05,1662.9050811523498
2011-01-06,1304.0250998658303
2011-01-07,1900.8607573288677
2011-01-08,2854.3063234640044
2011-01-09,1320.6700274346379
2011-01-10,4364.743905750283
2011-01-11,6673.2244547709615
2011-01-12,2566.938802308411
2011-01-13,6729.044904932913
2011-01-14,9068.010508041996
2011-01-15,2513.6092618695798
2011-01-16,6019.707572345942
2011-01-17,4293.956664276305
2011-01-18,8494.224124689601
2011-01-19,4523.093764257612
2011-01-20,2999.0917220487263
2011-01-21,3726.8654576705853
2011-01-22,5866.056914876497
2011-01-23,9304.20628657693
2011-01-24,4144.442640189511
2011-01-25,4382.238877996957
2011-01-26,4846.88495221997
2011-01-27,129368.99781141632
2011-01-28,3935.31015658311
2011-01-29,3262.4867455777803
2011-01-30,3942.6914092607162
2011-01-31,11216.860397153281
2011-02-01,29447.9769430458
2011-02-02,44043.59841835296
2011-02-03,26085.469607885996
2011-02-04,18763.037764031887
2011-02-05,35775.25236733721
2011-02-06,29100.50955863484
2011-02-07,97979.80206663166
2011-02-08,16973.93209220955
2011-02-09,58282.874960903035
2011-02-10,33633.29960146899
2011-02-11,58867.48897294498
2011-02-12,25742.999911434064
2011-02-13,28065.72947424102
2011-02-14,57729.26239472631
2011-02-15,35884.36963734948
2011-02-16,22085.958078646123
2011-02-17,20926.848446440017
2011-02-18,41148.71239023206
2011-02-19,21267.07542314889
2011-02-20,38758.76102590417
2011-02-21,15770.436510758507
2011-02-22,25013.580017306234
2011-02-23,22097.712021844116
2011-02-24,34156.519580282016
2011-02-25,27253.159725684098
2011-02-26,45335.056513404
2011-02-27,75255.88868458965
2011-02-28,37368.19776520995
2011-03-01,205692.1910361839
2011-03-02,154026.41552652515
2011-03-03,20854.21781722776
2011-03-04,37251.58121012697
2011-03-05,28434.615720119695
2011-03-06,31675.386703822234
2011-03-07,29551.080929968757
2011-03-08,48630.804797854
2011-03-09,78415.56610503615
2011-03-10,130702.36865135762
2011-03-11,56120.94727918563
2011-03-12,62123.66650332212
2011-03-13,43653.14815875383
2011-03-14,123341.16015333346
2011-03-15,62836.74110260359
2011-03-16,57733.703119443104
2011-03-17,62428.87533887432
2011-03-18,56454.04906059253
2011-03-19,34908.740496818
2011-03-20,33090.050247130166
2011-03-21,36762.11849462792
2011-03-22,47467.482063633026
2011-03-23,79284.66330706456
2011-03-24,65468.919574639425
2011-03-25,50624.044344947164
2011-03-26,98102.96671557293
2011-03-27,42654.615473281345
2011-03-28,50464.39882345451
2011-03-29,38149.20490951301
2011-03-30,36314.553000564265
2011-03-31,43271.717437737214
2011-04-01,31851.082778841304
2011-04-02,33837.28138486408
2011-04-03,21257.32658197029
2011-04-04,51737.00345275292
2011-04-05,33834.80625225572
2011-04-06,20817.069314458535
2011-04-07,36770.81242086883
2011-04-08,33915.19034176471
2011-04-09,35300.76712146953
2011-04-10,28208.307930783103
2011-04-11,31356.279607133325
2011-04-12,49552.20776853319
2011-04-13,60371.24477851948
2011-04-14,87431.26756825551
2011-04-15,52414.76466920349
2011-04-16,202745.58650331286
2011-04-17,839322.2882425734
2011-04-18,89698.339033741
2011-04-19,2562998.177617283
2011-04-20,801383.5009969664
2011-04-21,130525.47705461031
2011-04-22,191359.15906272596
2011-04-23,190622.8269415345
2011-04-24,151630.81084209794
2011-04-25,137989.9205202793
2011-04-26,204524.1547356258
2011-04-27,307909.60690337495
2011-04-28,350109.77304365806
2011-04-29,1577198.499275586
2011-04-30,3091446.747943255
2011-05-01,1045574.3457988893
2011-05-02,794131.3355467116
2011-05-03,1287600.166529761
2011-05-04,2135577.1876022555
2011-05-05,1043860.6236307335
2011-05-06,1250407.5874619018
2011-05-07,1246146.3445065352
2011-05-08,1112289.4340598506
2011-05-09,1058834.9131404485
2011-05-10,2532057.0879193516
2011-05-11,3153737.188066406
2011-05-12,3865617.562232217
2011-05-13,14424371.420394603
2011-05-14,46440568.045941085
2011-05-15,15641779.447264886
2011-05-16,9550866.806446757
2011-05-17,5145952.460424562
2011-05-18,4862033.070364048
2011-05-19,3378484.4913057517
2011-05-20,3107604.147179589
2011-05-21,19620566.210393697
2011-05-22,11161429.506377432
2011-05-23,4394004.376727926
2011-05-24,3600058.2461232916
2011-05-25,3788504.2796940417
2011-05-26,5600688.07611295
2011-05-27,28815878.524977274
2011-05-28,3450502.9187209196
2011-05-29,4578911.390458737
2011-05-30,3939782.892413286
2011-05-31,5829678.927189175
2011-06-01,6042721.950200033
2011-06-02,8824591.901549462
2011-06-03,22155401.14236696
2011-06-04,23773755.322867986
2011-06-05,30352046.58811503
2011-06-06,37470673.22746463
2011-06-07,32106341.208412185
2011-06-08,112215364.75483243
2011-06-09,131382536.83758184
2011-06-10,111212752.05540928
2011-06-11,119323734.37286468
2011-06-12,482987053.9468702
2011-06-13,86732910.71713902
2011-06-14,147925008.21295005
2011-06-15,56430021.24741152
2011-06-16,67232786.78350268
2011-06-17,46723858.88179538
2011-06-18,29548780.715379875
2011-06-19,271522003.3183132
2011-06-20,29490404.537823167
2011-06-21,34594524.489973694
2011-06-22,22760269.190705992
2011-06-23,116842480.6907962
2011-06-24,25209095.441797994
2011-06-25,33724575.98733698
2011-06-26,23489115.718602378
2011-06-27,38792718.3104574
2011-06-28,33747511.70769422
2011-06-29,22749330.00360296
2011-06-30,26247320.08852823
2011-07-01,28941277.758896578
2011-07-02,24822107.764567018
2011-07-03,11404146.072290031
2011-07-04,17160787.781131126
2011-07-05,20739546.82463751
2011-07-06,17694827.71624393
2011-07-07,12740981.922215786
2011-07-08,12663429.078171564
