date,close,volume,rsi,MACD_Cross_Power_Normalized,hash-rate,active-count,total_fee,transfer_count,active-count_smoothed,gesi_value,MACD,Signal_Line
2010-07-27,0.06799023,3370.9,56.39,-0.0024747836960353708,0.0,775.0,861.929599853,57.53561084234744,1517.7857142857142,50.0,0.002605564397547569,0.002773825510241264
2010-07-28,0.06786455,4386.99,57.69,-0.0025827892445696734,0.0,664.0,861.929599853,57.53561084234744,1082.9285714285713,50.0,0.002554725722956813,0.002730005552784374
2010-07-29,0.06375633,8091.7,53.8,-0.007176644417859919,0.0,534.0,861.929599853,57.53561084234744,977.5714285714286,50.0,0.0021580599155372054,0.0026156164253349403
2010-07-30,0.06366964,3013.58,47.73,-0.010049917430411686,0.0,582.0,861.929599853,57.53561084234744,896.2142857142857,50.0,0.0018157731443048941,0.002455647769128931
2010-07-31,0.06975885,4033.25,52.57,-0.005080263182833773,0.0,479.0,861.929599853,57.53561084234744,866.5,50.0,0.0020126561224641515,0.0023670494397959752
2010-08-01,0.06046468,2595.17,36.37,-0.012761060434337475,0.0,622.0,861.929599853,57.53561084234744,849.5,50.0,0.00140255764526738,0.0021741510808902563
2010-08-02,0.06,3595.64,38.79,-0.017368571613060105,0.0,632.0,861.929599853,57.53561084234744,828.2857142857143,51.0,0.0008715082099107485,0.001913622506694355
2010-08-03,0.06,9856.36,40.19,-0.019574805156078432,0.0,988.0,861.929599853,57.53561084234744,832.0,51.0,0.0004455121199884726,0.0016200004293531786
2010-08-04,0.0596818,3503.64,37.48,-0.020625469964432833,0.0,715.0,861.929599853,57.53561084234744,827.0714285714286,51.0,8.129396269906941e-05,0.0013122591360223569
2010-08-05,0.06076188,5016.59,51.97,-0.01884191178372801,0.0,825.0,861.929599853,57.53561084234744,843.5714285714286,51.0,-0.00011882834244447693,0.0010260416403289902
2010-08-06,0.06181723,1397.31,48.87,-0.015738257169460968,0.0,640.0,861.929599853,57.53561084234744,842.5,51.0,-0.00019007768872565667,0.0007828177745180609
2010-08-07,0.05964825,2625.28,36.81,-0.01608866001897057,0.0,500.0,861.929599853,57.53561084234744,809.7142857142857,51.0,-0.0004167577442026407,0.0005429026707739206
2010-08-08,0.06085148,2201.06,39.64,-0.013626951567892995,0.0,581.0,861.929599853,57.53561084234744,699.0714285714286,51.0,-0.0004936225427193408,0.00033559762807526837
2010-08-09,0.06613738,13620.25,55.67,-0.005590173840509409,0.0,782.0,861.929599853,57.53561084234744,665.6428571428571,59.0,-0.0001265516863695193,0.00024316776518631082
2010-08-10,0.06570639,1304.75,47.69,-0.0014009853104021825,0.0,590.0,861.929599853,57.53561084234744,652.4285714285714,59.0,0.00012810065619936473,0.0002201543433889216
2010-08-11,0.06336595,14095.69,44.49,-0.00101886071621874,0.0,724.0,861.929599853,57.53561084234744,656.7142857142857,59.0,0.00013945299688782054,0.0002040140740887014
2010-08-12,0.0611463,2055.26,47.25,-0.003065723983214612,0.0,611.0,861.929599853,57.53561084234744,662.2142857142857,59.0,-3.0308023904843107e-05,0.0001571496544899925
2010-08-13,0.06306071,3601.97,50.11,-0.002123661079511956,0.0,787.0,861.929599853,57.53561084234744,676.8571428571429,59.0,-1.0249814851745476e-05,0.00012366976062164493
2010-08-14,0.06299919,4404.59,39.0,-0.001561864217760538,0.0,564.0,861.929599853,57.53561084234744,682.9285714285714,59.0,6.745348605230461e-07,9.907071546942055e-05
2010-08-15,0.07724812,4462.17,77.36,0.010841137637635244,0.0,472.0,861.929599853,57.53561084234744,672.2142857142857,59.0,0.0011458925919301255,0.00030843509076156154
2010-08-16,0.09506984,10678.23,86.21,0.026450661367779477,0.0,760.0,861.929599853,57.53561084234744,681.3571428571429,50.0,0.0034517602709227824,0.0009371001267938059
2010-08-17,0.06116077,13207.49,51.41,0.020626532911190834,0.0,486.0,861.929599853,57.53561084234744,645.5,50.0,0.0025140184208922722,0.0012524837856134991
2010-08-18,0.0680466,2957.23,55.35,0.012314899520161616,0.0,709.0,861.929599853,57.53561084234744,645.0714285714286,50.0,0.002299967587724286,0.0014619805460356565
2010-08-19,0.06995843,737.31,55.7,0.009109222101172789,0.0,471.0,861.929599853,57.53561084234744,619.7857142857143,50.0,0.0022585641419348434,0.001621297265215494
2010-08-20,0.06581428,4171.63,52.71,0.0030206477074980176,0.0,656.0,861.929599853,57.53561084234744,620.9285714285714,50.0,0.0018697994577187849,0.0016709977037161522
2010-08-21,0.06839827,10441.99,54.87,0.0009244214969834237,0.0,526.0,861.929599853,57.53561084234744,622.7857142857143,50.0,0.0017500337426467477,0.0016868049115022713
2010-08-22,0.06780827,18735.84,53.98,-0.001151642864155276,0.0,586.0,861.929599853,57.53561084234744,623.1428571428571,50.0,0.0015891912736570035,0.0016672821839332178
2010-08-23,0.06680966,4305.16,50.61,-0.00361479137155168,0.0,655.0,861.929599853,57.53561084234744,614.0714285714286,58.5,0.001365403455802841,0.0016069064383071425
2010-08-24,0.06610902,6698.65,50.44,-0.005908869703334564,0.0,638.0,861.929599853,57.53561084234744,617.5,58.5,0.001118619456563219,0.0015092490419583578
2010-08-25,0.06800457,4244.57,52.84,-0.005240997266054405,0.0,498.0,861.929599853,57.53561084234744,601.3571428571429,58.5,0.0010637343351468515,0.0014201461005960568
2010-08-26,0.06947311,3870.7,54.76,-0.003389936250491491,0.0,650.0,861.929599853,57.53561084234744,604.1428571428571,58.5,0.001125759333066828,0.001361268747090211
2010-08-27,0.06647771,8983.94,52.04,-0.005279276727444738,0.0,490.0,861.929599853,57.53561084234744,582.9285714285714,58.5,0.0009225759629691854,0.0012735301902660058
2010-08-28,0.0667521,6132.59,52.12,-0.0059775617856797185,0.0,531.0,861.929599853,57.53561084234744,580.5714285714286,58.5,0.0007747616876736668,0.001173776489747538
2010-08-29,0.06034821,3161.99,39.72,-0.013713805584934189,0.0,418.0,469.5138,28.334317400298,576.7142857142857,58.5,0.00013927196557406152,0.0009668755849128427
2010-08-30,0.06623912,34120.32,29.15,-0.01035220793643715,0.0,517.0,944.537300028,62.56531956103069,559.3571428571429,41.0,0.0001097241552045769,0.0007954452989711897
2010-08-31,0.06803799,14874.0,58.3,-0.006662418501538547,0.0,733.0,2427.5209,165.163642718991,577.0,41.0,0.00022882334474182142,0.0006821209081253161
2010-09-01,0.06274802,7184.24,41.86,-0.01000300331166766,0.0,622.0,1010.300400006,63.39434970558449,570.7857142857143,41.0,-0.00010246490670041963,0.0005252037451601689
2010-09-02,0.06260652,8145.96,38.85,-0.011466473872164406,0.0,513.0,1604.6628,100.462353681456,573.7857142857143,41.0,-0.00037214128709875394,0.0003457347387083844
2010-09-03,0.06023277,893.97,41.12,-0.014799637967636543,0.0,503.0,1513.3758,91.154816484966,562.8571428571429,41.0,-0.0007685442485265148,0.00012287894126140452
2010-09-04,0.06000862,3298.27,35.8,-0.016145918812744214,0.0,468.0,1531.5042,91.903453566204,558.7142857142857,41.0,-0.0010882389419696187,-0.00011934463538480013
2010-09-05,0.06040329,8470.29,37.37,-0.015568451677321354,0.0,534.0,1828.3764,110.439949918356,555.0,41.0,-0.0012948267622800852,-0.00035444106076385715
2010-09-06,0.0607938,911.23,39.53,-0.013900556971005961,0.0,518.0,1694.7888,103.03265134944,545.2142857142857,45.0,-0.001410775661243785,-0.0005657079808598427
2010-09-07,0.06035231,3455.8,39.93,-0.012659693653197449,0.0,408.0,783.2022,47.268061967082,528.7857142857143,45.0,-0.0015207601756883488,-0.0007567184198255439
2010-09-08,0.06010664,2340.15,35.54,-0.011346220198398435,0.0,535.0,786.754200018,47.28915146896992,531.4285714285714,45.0,-0.0016091973858578731,-0.0009272142130320098
2010-09-09,0.06052719,1736.18,34.3,-0.00924391177526692,0.0,530.0,1023.925200006,61.97531512655116,522.8571428571429,45.0,-0.0016265992184880326,-0.0010670912141232144
2010-09-10,0.06019632,4936.59,38.08,-0.00772139378117738,0.0,529.0,594.225,35.770158252,525.6428571428571,45.0,-0.0016480905777454188,-0.0011832910868476553
2010-09-11,0.06341174,7687.5,44.86,-0.0026033671453711245,0.0,426.0,559.1766,35.458361173284,518.1428571428571,45.0,-0.0013896461375311753,-0.0012245620969843593
2010-09-12,0.06011142,795.76,50.58,-0.0027952897783303393,0.0,708.0,939.3114,56.463342076188,538.8571428571429,45.0,-0.001434598144343012,-0.00126656930645609
2010-09-13,0.06111882,10050.56,39.25,-0.0013944844704609932,0.0,722.0,1688.811,103.21813552302,553.5,35.0,-0.001373105863134716,-0.0012878766177918152
2010-09-14,0.06071952,14066.33,32.0,-0.0007016734458281424,0.0,680.0,1218.6276237888,73.99448437519652,549.7142857142857,35.0,-0.0013411332113261037,-0.001298527936498673
2010-09-15,0.08017105,3660.94,78.26,0.015461113165482576,0.0,666.0,2492.3502,199.81433250171,552.8571428571429,35.0,0.00025088915930827904,-0.0009886445173372827
2010-09-16,0.09092079,728.74,83.52,0.029401545075706727,0.0,666.0,4101.552,372.91634806608,563.7857142857143,35.0,0.002352870114542549,-0.00032034159096131637
2010-09-17,0.05914367,7282.76,49.31,0.023783746866592362,0.0,1008.0,4175.8764,246.976655762388,599.8571428571429,35.0,0.0014379810040902746,3.132292804900182e-05
2010-09-18,0.06072073,7101.38,50.58,0.010530607542454858,0.0,573.0,2351.6856,142.79606636248798,607.3571428571429,35.0,0.000830605649700708,0.0001911794723793431
2010-09-19,0.06011195,12917.52,49.87,0.0014044868949205068,0.0,667.0,2135.7834,128.38610495163,616.8571428571429,35.0,0.00029671252988323904,0.00021228608388012228
2010-09-20,0.0605423,14317.24,49.88,-0.004002719542272908,0.0,711.0,1926.975,116.6634985425,630.6428571428571,32.0,-9.063122530006407e-05,0.00015170262204408503
2010-09-21,0.06011619,5709.85,49.73,-0.007701980392917927,0.0,1227.0,989.0634,59.458723276446,689.1428571428571,32.0,-0.00042706452380207593,3.594919287485284e-05
2010-09-22,0.06167253,11538.45,50.83,-0.007751674828265647,0.0,1056.0,1706.9796,105.273750590388,726.3571428571429,32.0,-0.0005616325551207196,-8.356715672426166e-05
2010-09-23,0.06064239,15540.26,49.72,-0.008697180060647505,0.0,1027.0,4105.2816,248.954087847024,761.8571428571429,32.0,-0.0007428393881467737,-0.0002154216030087641
2010-09-24,0.06081969,684.36,50.15,-0.008507507417258491,0.0,808.0,1059.924,64.46424910356001,781.7857142857143,32.0,-0.0008622015577467168,-0.0003447775939563547
2010-09-25,0.06068186,2151.86,47.83,-0.008069767935422884,0.0,837.0,1421.9406,86.286000417516,811.1428571428571,32.0,-0.0009568882540686302,-0.0004671997259788098
2010-09-26,0.06072084,12046.65,50.13,-0.007244419366501265,0.0,634.0,1207.464,73.31822834975999,805.8571428571429,32.0,-0.0010170587625365907,-0.000577171533290366
2010-09-27,0.06095292,10723.37,49.37,-0.005997093468054014,0.0,1251.0,1767.6606,107.744075138952,843.6428571428571,30.0,-0.0010340969812788897,-0.0006685566228880708
2010-09-28,0.06121943,7092.92,49.83,-0.0045194115947265615,0.0,1705.0,4446.0202316964,272.1828243529215,916.8571428571429,30.0,-0.0010144013750937597,-0.0007377255733292086
