date,close,volume,rsi,MACD_Cross_Power_Normalized,hash-rate,active-count,total_fee,transfer_count,zew_mood_index,zew_state,active-count_smoothed,gesi_value,MACD,Signal_Line
2010-08-09,0.06613738,13620.25,60.63,-0.00743637074153527,3227878956.660795,595,4.32,77358.90000000001,10.7,-1.0,496.7857142857143,59.0,0.00028586558040197274,0.0007776876579557727
2010-08-09,0.06613738,13620.25,60.63,-0.00743637074153527,3621742887.625082,595,4.32,77358.90000000001,10.7,-1.0,510.14285714285717,59.0,0.00028586558040197274,0.0007776876579557727
2010-08-10,0.06570639,1304.75,73.96,-0.0034076695688155245,3471423061.165375,406,0.0,33871.85,10.7,-1.0,518.7857142857143,59.0,0.0004978055758561167,0.0007217112415358414
2010-08-11,0.06336595,14095.69,61.24,-0.003159180299055223,3655716813.132255,497,0.0,54887.41,10.7,-1.0,533.9285714285714,59.0,0.0004714806654471937,0.000671665126318112
2010-08-12,0.0611463,2055.26,56.52,-0.005275851347748047,4196148709.845182,378,0.0,15702.83,10.7,-1.0,531.2142857142857,59.0,0.00026841663973710406,0.0005910154290019105
2010-08-12,0.0611463,2055.26,56.52,-0.005275851347748047,3804515052.487553,378,0.0,15702.83,10.7,-1.0,528.5,59.0,0.00026841663973710406,0.0005910154290019105
2010-08-13,0.06306071,3601.97,69.42,-0.004212283023805005,3961944703.417531,655,0.0,35062.590000000004,10.7,-1.0,520.0,59.0,0.00025897848124929734,0.0005246080394513879
2010-08-14,0.06299919,4404.59,69.79,-0.003566814454460345,3518463150.472075,332,0.0,16201.74,10.7,-1.0,488.42857142857144,59.0,0.00024372501256227086,0.0004684314340735645
2010-08-14,0.06299919,4404.59,69.79,-0.003566814454460345,4725491801.554912,332,0.0,16201.74,10.7,-1.0,475.64285714285717,59.0,0.00024372501256227086,0.0004684314340735645
2010-08-18,0.0680466,2957.23,70.76,0.0019187763127051164,3451917312.677054,595,1.56,37386.94,15.8,1.0,473.92857142857144,50.0,0.0006316391893737144,0.0005010729851335945
2010-08-19,0.06995843,737.31,74.03,0.006630223756699134,3443559617.218109,336,0.0,20402.100000000002,15.8,1.0,453.7142857142857,50.0,0.0010808730408428113,0.0006170329962754379
2010-08-20,0.06581428,4171.63,63.9,0.005748281770247143,4589770231.158602,480,0.0,29578.41,15.8,1.0,452.7857142857143,50.0,0.0010899317787078644,0.0007116127527619232
2010-08-21,0.06839827,10441.99,67.32,0.006773571426660874,4140981947.703504,365,0.0,38678.31,15.8,1.0,453.0,50.0,0.0012907384618932177,0.0008274378945881821
2010-08-22,0.06780827,18735.84,65.03,0.006593330795247396,5613881670.663235,387,0.0,20418.19,15.8,1.0,452.2142857142857,50.0,0.0013862908380424949,0.0009392084832790447
2010-08-22,0.06780827,18735.84,65.03,0.006593330795247396,4987959164.98087,387,0.0,20418.19,15.8,1.0,437.35714285714283,50.0,0.0013862908380424949,0.0009392084832790447
2010-08-23,0.06680966,4305.16,61.83,0.00510687759536891,5286530345.298863,453,0.0,17776.11,15.8,1.0,427.2142857142857,58.5,0.001365694428039313,0.0010245056722310985
2010-08-24,0.06610902,6698.65,63.37,0.0030688337307950785,5223191776.736258,448,0.8,21093.11,15.8,1.0,430.2142857142857,58.5,0.0012781026603383566,0.0010752250698525501
2010-08-24,0.06610902,6698.65,63.37,0.0030688337307950785,5829291644.079941,448,0.8,21093.11,15.8,1.0,426.7142857142857,58.5,0.0012781026603383566,0.0010752250698525501
2010-08-25,0.06800457,4244.57,64.16,0.003186824120670247,5563207694.520965,311,0.0,15911.1,15.8,1.0,421.92857142857144,58.5,0.0013461233248423105,0.0011294047208505022
2010-08-26,0.06947311,3870.7,58.68,0.004281589820115792,5339968651.089575,455,0.0,14247.79,15.8,1.0,427.42857142857144,58.5,0.001501223921535233,0.0012037685609874484
2010-08-26,0.06947311,3870.7,58.68,0.004281589820115792,5386917252.059753,455,0.0,14247.79,15.8,1.0,413.14285714285717,58.5,0.001501223921535233,0.0012037685609874484
2010-08-27,0.06647771,8983.94,53.7,0.001960544903153372,5357250861.515039,332,0.0,28697.3,15.8,1.0,413.14285714285717,58.5,0.0013666842303797083,0.0012363516948659004
2010-08-28,0.0667521,6132.59,58.68,0.00037437452882118353,5623110995.472938,368,1.1e-06,16629.5199904,15.8,1.0,415.7142857142857,58.5,0.001267589552347556,0.0012425992663622316
2010-08-29,0.06034821,3161.99,50.98,-0.0076614710983451744,4872694935.676193,231,0.23,8604.36,15.8,1.0,389.7142857142857,58.5,0.0006646541829224001,0.0011270102496742653
2010-08-30,0.06623912,34120.32,56.14,-0.005705215792605315,4740333600.40061,376,0.36,13838.5500009,15.8,1.0,392.57142857142856,41.0,0.0006546246577839171,0.0010325331312961957
2010-08-31,0.06803799,14874.0,58.33,-0.0029363227514353067,5181157618.993422,556,0.2000003,40152.7799962,15.8,1.0,398.0,41.0,0.000782806258797536,0.0009825877567964639
2010-09-01,0.06274802,7184.24,41.86,-0.006760590636589223,5358750483.858987,450,0.08000020000000001,28757.5099972,15.8,1.0,404.07142857142856,41.0,0.00045232066120082237,0.0008765343376773356
2010-09-02,0.06260652,8145.96,39.02,-0.008939433652322562,4897564528.38156,397,0.0,34736.7000001,15.8,1.0,404.7857142857143,41.0,0.00017695079799882885,0.0007366176297416343
