date,close,volume,rsi,MACD_Cross_Power_Normalized,hash-rate,active-count,total_fee,transfer_count,zew_mood_index,zew_state,active-count_smoothed,gesi_value,MACD,Signal_Line,target_close,close_ma_3,close_change,price_momentum_7d,volume_ma_7,volume_ratio_7d,active_count_ma_7,hash_rate_ma_7,hash_active_count_7dirived,hash_active_count_dirived14,returns,volatility_14d,rsi_divergence,fee_to_volume_ratio,macd_signal_diff,close_change_lag_1,close_change_lag_2,close_change_lag_3,close_change_lag_4,close_change_lag_5,close_change_lag_6,close_change_lag_7,volume_lag_1,volume_lag_2,volume_lag_3,volume_lag_4,volume_lag_5,volume_lag_6,volume_lag_7,rsi_lag_1,rsi_lag_2,rsi_lag_3,rsi_lag_4,rsi_lag_5,rsi_lag_6,rsi_lag_7,MACD_Cross_Power_Normalized_lag_1,MACD_Cross_Power_Normalized_lag_2,MACD_Cross_Power_Normalized_lag_3,MACD_Cross_Power_Normalized_lag_4,MACD_Cross_Power_Normalized_lag_5,MACD_Cross_Power_Normalized_lag_6,MACD_Cross_Power_Normalized_lag_7,hash-rate_lag_1,hash-rate_lag_2,hash-rate_lag_3,hash-rate_lag_4,hash-rate_lag_5,hash-rate_lag_6,hash-rate_lag_7,active-count_lag_1,active-count_lag_2,active-count_lag_3,active-count_lag_4,active-count_lag_5,active-count_lag_6,active-count_lag_7,total_fee_lag_1,total_fee_lag_2,total_fee_lag_3,total_fee_lag_4,total_fee_lag_5,total_fee_lag_6,total_fee_lag_7,transfer_count_lag_1,transfer_count_lag_2,transfer_count_lag_3,transfer_count_lag_4,transfer_count_lag_5,transfer_count_lag_6,transfer_count_lag_7,zew_state_lag_1,zew_state_lag_2,zew_state_lag_3,zew_state_lag_4,zew_state_lag_5,zew_state_lag_6,zew_state_lag_7,zew_mood_index_lag_1,zew_mood_index_lag_2,zew_mood_index_lag_3,zew_mood_index_lag_4,zew_mood_index_lag_5,zew_mood_index_lag_6,zew_mood_index_lag_7,gesi_value_lag_1,gesi_value_lag_2,gesi_value_lag_3,gesi_value_lag_4,gesi_value_lag_5,gesi_value_lag_6,gesi_value_lag_7,price_momentum_7d_lag_1,price_momentum_7d_lag_2,price_momentum_7d_lag_3,price_momentum_7d_lag_4,price_momentum_7d_lag_5,price_momentum_7d_lag_6,price_momentum_7d_lag_7,volume_ratio_7d_lag_1,volume_ratio_7d_lag_2,volume_ratio_7d_lag_3,volume_ratio_7d_lag_4,volume_ratio_7d_lag_5,volume_ratio_7d_lag_6,volume_ratio_7d_lag_7,volatility_14d_lag_1,volatility_14d_lag_2,volatility_14d_lag_3,volatility_14d_lag_4,volatility_14d_lag_5,volatility_14d_lag_6,volatility_14d_lag_7,rsi_divergence_lag_1,rsi_divergence_lag_2,rsi_divergence_lag_3,rsi_divergence_lag_4,rsi_divergence_lag_5,rsi_divergence_lag_6,rsi_divergence_lag_7,fee_to_volume_ratio_lag_1,fee_to_volume_ratio_lag_2,fee_to_volume_ratio_lag_3,fee_to_volume_ratio_lag_4,fee_to_volume_ratio_lag_5,fee_to_volume_ratio_lag_6,fee_to_volume_ratio_lag_7,macd_signal_diff_lag_1,macd_signal_diff_lag_2,macd_signal_diff_lag_3,macd_signal_diff_lag_4,macd_signal_diff_lag_5,macd_signal_diff_lag_6,macd_signal_diff_lag_7,hash_active_count_7dirived_lag_1,hash_active_count_7dirived_lag_2,hash_active_count_7dirived_lag_3,hash_active_count_7dirived_lag_4,hash_active_count_7dirived_lag_5,hash_active_count_7dirived_lag_6,hash_active_count_7dirived_lag_7,hash_active_count_dirived14_lag_1,hash_active_count_dirived14_lag_2,hash_active_count_dirived14_lag_3,hash_active_count_dirived14_lag_4,hash_active_count_dirived14_lag_5,hash_active_count_dirived14_lag_6,hash_active_count_dirived14_lag_7,close_ma_7,zew_mood_ma_3,zew_mood_ma_7,total_fee_ma_3,total_fee_ma_7,total_fee_ma_14
2024-06-01,67706.9373135869,11641495603.74,52.61,-0.0024921618601199,6.29316027350322e+20,570827,44.22662876,433433.91796517,47.0,1.0,654218.4285714285,0.0025,1017.4805929812428,1186.2172398196997,67751.6025754618,,,,,,,,,,,,-67654.3273135869,3.799050419758055e-09,-168.73664683845686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-02,67751.6025754618,17110588415.4,54.95,-0.0029979858086734,5.485624078788432e+20,544786,35.1334046,582367.60093572,47.0,1.0,646368.9285714285,0.0025,932.3193110245484,1135.4376540606695,68804.7800851881,,,,,,,,,,0.0006596851614781851,,-67696.6525754618,2.0533136410656087e-09,-203.11834303612113,,,,,,,,11641495603.74,,,,,,,52.61,,,,,,,-0.0024921618601199,,,,,,,6.29316027350322e+20,,,,,,,570827.0,,,,,,,44.22662876,,,,,,,433433.91796517,,,,,,,1.0,,,,,,,47.0,,,,,,,0.0025,,,,,,,,,,,,,,,,,,,,,,,,,,,,-67654.3273135869,,,,,,,3.799050419758055e-09,,,,,,,-168.73664683845686,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-03,68804.7800851881,32401285323.51,38.27,-0.002284151840251,6.608279691980071e+20,677472,43.74055069,908130.59217963,47.0,1.0,644515.9285714285,0.0028,938.9869477486064,1096.147512798257,70567.7689044147,,,,,,,,,,0.015544687796178236,,-68766.5100851881,1.3499634429089256e-09,-157.16056504965047,,,,,,,,17110588415.4,11641495603.74,,,,,,54.95,52.61,,,,,,-0.0029979858086734,-0.0024921618601199,,,,,,5.485624078788432e+20,6.29316027350322e+20,,,,,,544786.0,570827.0,,,,,,35.1334046,44.22662876,,,,,,582367.60093572,433433.91796517,,,,,,1.0,1.0,,,,,,47.0,47.0,,,,,,0.0025,0.0025,,,,,,,,,,,,,,,,,,,,,,,,,,,-67696.6525754618,-67654.3273135869,,,,,,2.0533136410656087e-09,3.799050419758055e-09,,,,,,-203.11834303612113,-168.73664683845686,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-04,70567.7689044147,33149696544.76,51.92,-0.0002494062625756,6.268573750753397e+20,654709,35.217513260000004,856379.8645783,47.0,1.0,637704.7142857143,0.0028,1074.147458422318,1091.7475019230692,71082.8227040099,68087.7733247456,0.042253153138174904,,,,,,,,0.02562305725043834,,-70515.8489044147,1.062378149146794e-09,-17.6000435007511,,,,,,,,32401285323.51,17110588415.4,11641495603.74,,,,,38.27,54.95,52.61,,,,,-0.002284151840251,-0.0029979858086734,-0.0024921618601199,,,,,6.608279691980071e+20,5.485624078788432e+20,6.29316027350322e+20,,,,,677472.0,544786.0,570827.0,,,,,43.74055069,35.1334046,44.22662876,,,,,908130.59217963,582367.60093572,433433.91796517,,,,,1.0,1.0,1.0,,,,,47.0,47.0,47.0,,,,,0.0028,0.0025,0.0025,,,,,,,,,,,,,,,,,,,,,,,,,,-68766.5100851881,-67696.6525754618,-67654.3273135869,,,,,1.3499634429089256e-09,2.0533136410656087e-09,3.799050419758055e-09,,,,,-157.16056504965047,-203.11834303612113,-168.73664683845686,,,,,,,,,,,,,,,,,,,,47.0,,41.033528016666665,,
2024-06-05,71082.8227040099,32810771409.33,58.85,0.0013183591213661,5.706829802380024e+20,592902,56.4829019,998244.88151226,47.0,1.0,628801.0,0.0028,1208.8883615284285,1115.175673844141,70757.1658518634,69041.38385502153,0.04916813775493778,,,,,,,,0.007298711686532844,,-71023.9727040099,1.7214743656998762e-09,93.7126876842874,0.042253153138174904,,,,,,,33149696544.76,32401285323.51,17110588415.4,11641495603.74,,,,51.92,38.27,54.95,52.61,,,,-0.0002494062625756,-0.002284151840251,-0.0029979858086734,-0.0024921618601199,,,,6.268573750753397e+20,6.608279691980071e+20,5.485624078788432e+20,6.29316027350322e+20,,,,654709.0,677472.0,544786.0,570827.0,,,,35.217513260000004,43.74055069,35.1334046,44.22662876,,,,856379.8645783,908130.59217963,582367.60093572,433433.91796517,,,,1.0,1.0,1.0,1.0,,,,47.0,47.0,47.0,47.0,,,,0.0028,0.0028,0.0025,0.0025,,,,,,,,,,,,,,,,,,,,,,,,,-70515.8489044147,-68766.5100851881,-67696.6525754618,-67654.3273135869,,,,1.062378149146794e-09,1.3499634429089256e-09,2.0533136410656087e-09,3.799050419758055e-09,,,,-17.6000435007511,-157.16056504965047,-203.11834303612113,-168.73664683845686,,,,,,,,,,,,,,,,,,,47.0,,38.03048951666667,,
2024-06-06,70757.1658518634,25223152007.14,63.77,0.0018036233131588,4.820342791111272e+20,615280,65.86679186,774769.02151654,47.0,1.0,620896.7142857143,0.0028,1274.699766223479,1147.0804923200087,69342.5867361146,70151.79056453757,0.02837572860865234,,,,,,,,-0.0045813719793111884,,-70693.3958518634,2.6113624435738596e-09,127.61927390347023,0.04916813775493778,0.042253153138174904,,,,,,32810771409.33,33149696544.76,32401285323.51,17110588415.4,11641495603.74,,,58.85,51.92,38.27,54.95,52.61,,,0.0013183591213661,-0.0002494062625756,-0.002284151840251,-0.0029979858086734,-0.0024921618601199,,,5.706829802380024e+20,6.268573750753397e+20,6.608279691980071e+20,5.485624078788432e+20,6.29316027350322e+20,,,592902.0,654709.0,677472.0,544786.0,570827.0,,,56.4829019,35.217513260000004,43.74055069,35.1334046,44.22662876,,,998244.88151226,856379.8645783,908130.59217963,582367.60093572,433433.91796517,,,1.0,1.0,1.0,1.0,1.0,,,47.0,47.0,47.0,47.0,47.0,,,0.0028,0.0028,0.0028,0.0025,0.0025,,,,,,,,,,,,,,,,,,,,,,,,-71023.9727040099,-70515.8489044147,-68766.5100851881,-67696.6525754618,-67654.3273135869,,,1.7214743656998762e-09,1.062378149146794e-09,1.3499634429089256e-09,2.0533136410656087e-09,3.799050419758055e-09,,,93.7126876842874,-17.6000435007511,-157.16056504965047,-203.11834303612113,-168.73664683845686,,,,,,,,,,,,,,,,,,47.0,,45.14698861666667,,
2024-06-07,69342.5867361146,36188381096.17,53.7,0.0005977337399072,6.100388224545397e+20,602193,312.660241,679659.85028146,47.0,1.0,616637.6428571428,0.0028,1198.8909969507804,1157.4425932461631,69305.7743187653,70802.585820096,-0.01736178126815424,,26932195771.43571,1.3436847631469915,608309.8571428572,5.8975998018659726e+20,26790.52904310859,,-0.019992026231100968,,-69288.8867361146,8.639796297300805e-09,41.44840370461725,0.02837572860865234,0.04916813775493778,0.042253153138174904,,,,,25223152007.14,32810771409.33,33149696544.76,32401285323.51,17110588415.4,11641495603.74,,63.77,58.85,51.92,38.27,54.95,52.61,,0.0018036233131588,0.0013183591213661,-0.0002494062625756,-0.002284151840251,-0.0029979858086734,-0.0024921618601199,,4.820342791111272e+20,5.706829802380024e+20,6.268573750753397e+20,6.608279691980071e+20,5.485624078788432e+20,6.29316027350322e+20,,615280.0,592902.0,654709.0,677472.0,544786.0,570827.0,,65.86679186,56.4829019,35.217513260000004,43.74055069,35.1334046,44.22662876,,774769.02151654,998244.88151226,856379.8645783,908130.59217963,582367.60093572,433433.91796517,,1.0,1.0,1.0,1.0,1.0,1.0,,47.0,47.0,47.0,47.0,47.0,47.0,,0.0028,0.0028,0.0028,0.0028,0.0025,0.0025,,,,,,,,,,,,,,,,,,,,,,,-70693.3958518634,-71023.9727040099,-70515.8489044147,-68766.5100851881,-67696.6525754618,-67654.3273135869,,2.6113624435738596e-09,1.7214743656998762e-09,1.062378149146794e-09,1.3499634429089256e-09,2.0533136410656087e-09,3.799050419758055e-09,,127.61927390347023,93.7126876842874,-17.6000435007511,-157.16056504965047,-203.11834303612113,-168.73664683845686,,,,,,,,,,,,,,,,,47.0,,52.522402340000006,,
2024-06-08,69305.7743187653,14262185861.29,50.5,-0.0003987559200361,6.338324496811047e+20,767808,155.5230742,509005.89990929,47.0,1.0,627623.5,0.0028,1122.8974834932887,1150.5335712955884,69647.9930028748,70394.19176399597,-0.024999687936483106,0.023614079570212,27306580093.94286,0.5222985013950405,636450.0,5.904051833767091e+20,65042.882419530986,,-0.0005308774748969958,,-69255.2743187653,1.0904574916676419e-08,-27.6360878022997,-0.01736178126815424,0.02837572860865234,0.04916813775493778,0.042253153138174904,,,,36188381096.17,25223152007.14,32810771409.33,33149696544.76,32401285323.51,17110588415.4,11641495603.74,53.7,63.77,58.85,51.92,38.27,54.95,52.61,0.0005977337399072,0.0018036233131588,0.0013183591213661,-0.0002494062625756,-0.002284151840251,-0.0029979858086734,-0.0024921618601199,6.100388224545397e+20,4.820342791111272e+20,5.706829802380024e+20,6.268573750753397e+20,6.608279691980071e+20,5.485624078788432e+20,6.29316027350322e+20,602193.0,615280.0,592902.0,654709.0,677472.0,544786.0,570827.0,312.660241,65.86679186,56.4829019,35.217513260000004,43.74055069,35.1334046,44.22662876,679659.85028146,774769.02151654,998244.88151226,856379.8645783,908130.59217963,582367.60093572,433433.91796517,1.0,1.0,1.0,1.0,1.0,1.0,1.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,0.0028,0.0028,0.0028,0.0028,0.0028,0.0025,0.0025,,,,,,,,1.3436847631469915,,,,,,,,,,,,,,-69288.8867361146,-70693.3958518634,-71023.9727040099,-70515.8489044147,-68766.5100851881,-67696.6525754618,-67654.3273135869,8.639796297300805e-09,2.6113624435738596e-09,1.7214743656998762e-09,1.062378149146794e-09,1.3499634429089256e-09,2.0533136410656087e-09,3.799050419758055e-09,41.44840370461725,127.61927390347023,93.7126876842874,-17.6000435007511,-157.16056504965047,-203.11834303612113,-168.73664683845686,26790.52904310859,,,,,,,,,,,,,,69430.52345294849,47.0,47.0,145.00331158666665,84.76114743857144,
2024-06-09,69647.9930028748,13534028500.18,55.75,-0.0008347372955272,6.343172522555286e+20,629416,73.58923503,413840.33177342,47.0,1.0,628724.2142857143,0.0028,1077.8613496479377,1135.9991269660582,69512.2802780003,69801.84230224777,-0.015675767049668887,0.02799034052811966,26795642963.197144,0.5050831778423269,648540.0,6.026558754305214e+20,68660.27539438593,,0.004937809114367697,,-69592.2430028748,5.437348903840514e-09,-58.13777731812047,-0.024999687936483106,-0.01736178126815424,0.02837572860865234,0.04916813775493778,0.042253153138174904,,,14262185861.29,36188381096.17,25223152007.14,32810771409.33,33149696544.76,32401285323.51,17110588415.4,50.5,53.7,63.77,58.85,51.92,38.27,54.95,-0.0003987559200361,0.0005977337399072,0.0018036233131588,0.0013183591213661,-0.0002494062625756,-0.002284151840251,-0.0029979858086734,6.338324496811047e+20,6.100388224545397e+20,4.820342791111272e+20,5.706829802380024e+20,6.268573750753397e+20,6.608279691980071e+20,5.485624078788432e+20,767808.0,602193.0,615280.0,592902.0,654709.0,677472.0,544786.0,155.5230742,312.660241,65.86679186,56.4829019,35.217513260000004,43.74055069,35.1334046,509005.89990929,679659.85028146,774769.02151654,998244.88151226,856379.8645783,908130.59217963,582367.60093572,1.0,1.0,1.0,1.0,1.0,1.0,1.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,0.0028,0.0028,0.0028,0.0028,0.0028,0.0028,0.0025,0.023614079570212,,,,,,,0.5222985013950405,1.3436847631469915,,,,,,,,,,,,,-69255.2743187653,-69288.8867361146,-70693.3958518634,-71023.9727040099,-70515.8489044147,-68766.5100851881,-67696.6525754618,1.0904574916676419e-08,8.639796297300805e-09,2.6113624435738596e-09,1.7214743656998762e-09,1.062378149146794e-09,1.3499634429089256e-09,2.0533136410656087e-09,-27.6360878022997,41.44840370461725,127.61927390347023,93.7126876842874,-17.6000435007511,-157.16056504965047,-203.11834303612113,65042.882419530986,26790.52904310859,,,,,,,,,,,,,69658.92873940255,47.0,47.0,178.01670235333336,100.6606396442857,
2024-06-10,69512.2802780003,20597699540.57,50.98,-0.0013411374639411,6.982985950480889e+20,683740,65.74519279,678922.4256426101,47.0,1.0,638742.3571428572,0.0108,1019.467222860054,1112.6927461448574,67332.0304641765,69432.11801925156,0.0024471764015883135,0.010282718612518282,25109416422.77714,0.8203177323502233,649435.4285714285,6.08008821980533e+20,45452.22888855298,,-0.0019485518393747014,,-69461.3002780003,3.191870658201699e-09,-93.22552328480344,-0.015675767049668887,-0.024999687936483106,-0.01736178126815424,0.02837572860865234,0.04916813775493778,0.042253153138174904,,13534028500.18,14262185861.29,36188381096.17,25223152007.14,32810771409.33,33149696544.76,32401285323.51,55.75,50.5,53.7,63.77,58.85,51.92,38.27,-0.0008347372955272,-0.0003987559200361,0.0005977337399072,0.0018036233131588,0.0013183591213661,-0.0002494062625756,-0.002284151840251,6.343172522555286e+20,6.338324496811047e+20,6.100388224545397e+20,4.820342791111272e+20,5.706829802380024e+20,6.268573750753397e+20,6.608279691980071e+20,629416.0,767808.0,602193.0,615280.0,592902.0,654709.0,677472.0,73.58923503,155.5230742,312.660241,65.86679186,56.4829019,35.217513260000004,43.74055069,413840.33177342,509005.89990929,679659.85028146,774769.02151654,998244.88151226,856379.8645783,908130.59217963,1.0,1.0,1.0,1.0,1.0,1.0,1.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,0.0028,0.0028,0.0028,0.0028,0.0028,0.0028,0.0028,0.02799034052811966,0.023614079570212,,,,,,0.5050831778423269,0.5222985013950405,1.3436847631469915,,,,,,,,,,,,-69592.2430028748,-69255.2743187653,-69288.8867361146,-70693.3958518634,-71023.9727040099,-70515.8489044147,-68766.5100851881,5.437348903840514e-09,1.0904574916676419e-08,8.639796297300805e-09,2.6113624435738596e-09,1.7214743656998762e-09,1.062378149146794e-09,1.3499634429089256e-09,-58.13777731812047,-27.6360878022997,41.44840370461725,127.61927390347023,93.7126876842874,-17.6000435007511,-157.16056504965047,68660.27539438593,65042.882419530986,26790.52904310859,,,,,,,,,,,,69929.8416576044,47.0,47.0,180.59085007666667,106.15432970571429,
