open,close,volume,date
0.05815725,0.05640216,261.54,2010-07-14
0.05640261,0.05756808,445.8,2010-07-15
0.0664999,0.06599255,19.99,2010-07-17
0.07879913,0.07416855,573.24,2010-07-19
0.07413588,0.07195755,262.35,2010-07-20
0.07193466,0.07439057,572.81,2010-07-21
0.0588808,0.06263688,2398.46,2010-07-23
0.0626421,0.06975554,496.83,2010-07-24
0.06976299,0.06895142,1555.03,2010-07-25
0.06903911,0.06270989,876.44,2010-07-26
0.06294483,0.06799023,3370.9,2010-07-27
0.06798962,0.06786455,4386.99,2010-07-28
0.06785855,0.06375633,8091.7,2010-07-29
0.06373855,0.06366964,3013.58,2010-07-30
0.06367021,0.06975885,4033.25,2010-07-31
0.06044506,0.06,3595.64,2010-08-02
0.05998519,0.06,9856.36,2010-08-03
0.05997899,0.0596818,3503.64,2010-08-04
0.05960335,0.06076188,5016.59,2010-08-05
0.06076835,0.06181723,1397.31,2010-08-06
0.06115977,0.05964825,2625.28,2010-08-07
0.05967849,0.06085148,2201.06,2010-08-08
0.06084069,0.06613738,13620.25,2010-08-09
0.06612978,0.06570639,1304.75,2010-08-10
0.06572198,0.06336595,14095.69,2010-08-11
0.06330224,0.0611463,2055.26,2010-08-12
0.06134036,0.06306071,3601.97,2010-08-13
0.06290812,0.06299919,4404.59,2010-08-14
0.06118207,0.0680466,2957.23,2010-08-18
0.06809194,0.06995843,737.31,2010-08-19
0.06994254,0.06581428,4171.63,2010-08-20
0.06581683,0.06839827,10441.99,2010-08-21
0.06833647,0.06780827,18735.84,2010-08-22
0.06782906,0.06680966,4305.16,2010-08-23
0.06683719,0.06610902,6698.65,2010-08-24
0.06611096,0.06800457,4244.57,2010-08-25
0.06833609,0.06947311,3870.7,2010-08-26
0.06946493,0.06647771,8983.94,2010-08-27
0.06650665,0.0667521,6132.59,2010-08-28
0.0667281,0.06034821,3161.99,2010-08-29
0.06071818,0.06623912,34120.32,2010-08-30
0.06609732,0.06803799,14874.0,2010-08-31
0.06806474,0.06274802,7184.24,2010-09-01
0.06252651,0.06260652,8145.96,2010-09-02
0.06245932,0.06023277,893.97,2010-09-03
0.06021975,0.06000862,3298.27,2010-09-04
0.0599639,0.06040329,8470.29,2010-09-05
0.06038112,0.0607938,911.23,2010-09-06
0.06079001,0.06035231,3455.8,2010-09-07
0.06027728,0.06010664,2340.15,2010-09-08
0.0599086,0.06052719,1736.18,2010-09-09
0.06050717,0.06019632,4936.59,2010-09-10
0.06017494,0.06341174,7687.5,2010-09-11
0.06340796,0.06011142,795.76,2010-09-12
0.06011416,0.06111882,10050.56,2010-09-13
0.06105726,0.06071952,14066.33,2010-09-14
0.05908685,0.06072073,7101.38,2010-09-18
0.06071987,0.06011195,12917.52,2010-09-19
0.06011121,0.0605423,14317.24,2010-09-20
0.0607776,0.06011619,5709.85,2010-09-21
0.0601967,0.06167253,11538.45,2010-09-22
0.06170115,0.06064239,15540.26,2010-09-23
0.06047148,0.06081969,684.36,2010-09-24
0.06081925,0.06068186,2151.86,2010-09-25
0.06069929,0.06072084,12046.65,2010-09-26
0.06098513,0.06095292,10723.37,2010-09-27
0.0609233,0.06121943,7092.92,2010-09-28
0.06133085,0.06030913,23481.6,2010-09-29
0.06025938,0.06186567,7944.9,2010-09-30
0.06202535,0.06042254,1720.37,2010-10-01
0.06042745,0.06005344,13073.68,2010-10-02
0.06013844,0.06043778,7177.04,2010-10-03
0.06045428,0.06092854,33882.93,2010-10-04
0.06092591,0.06087452,27480.57,2010-10-05
0.06092316,0.06262883,33430.03,2010-10-06
0.06270507,0.06535092,43702.18,2010-10-07
0.11345086,0.11767041,14122.2,2010-10-11
0.11766384,0.11895534,25735.4,2010-10-12
0.10430046,0.10067396,37309.53,2010-10-14
0.10072117,0.10635973,24754.25,2010-10-15
0.10602316,0.10157997,6275.99,2010-10-16
0.10194793,0.10547627,18151.31,2010-10-17
0.1054724,0.10141351,25647.31,2010-10-18
0.1014436,0.09894639,6231.45,2010-10-19
0.09889042,0.0993313,31793.8,2010-10-20
0.0993304,0.10191849,44828.67,2010-10-21
0.10189671,0.1096797,34549.21,2010-10-22
