date,open,close,volume
2025-08-21,114275.6841476792,112419.0275001688,57817883699.69
2025-08-20,112828.0213893074,114274.7407842478,67993811525.52
2025-08-19,116241.8565498179,112831.1759943522,71657600352.99
2025-08-18,117453.9063856625,116252.3119358528,72787808089.51
2025-08-17,117492.7885821931,117453.0627100409,45852169525.35
2025-08-16,117398.42308612,117491.3483895253,48036922377.96
2025-08-15,118365.7843911702,117398.3479829685,68665353159.16
2025-08-14,123339.3953878563,118359.5805705313,104055627395.48
2025-08-13,120168.977702397,123344.0598056487,90904808794.95
2025-08-12,118717.6624479562,120172.9070599404,72803657984.3
2025-08-11,119306.8107653633,118731.4470327152,90528784177.43
2025-08-10,116497.7165764095,119306.7614218206,64755458694.47
2025-08-09,116678.2756898164,116500.3620579945,54004312428.99
2025-08-08,117505.4973904093,116688.7254122597,59713005166.12
2025-08-07,115030.052227047,117496.8973967761,64051649680.54
2025-08-06,114140.9135797144,115027.9964133688,56379133509.58
2025-08-05,115072.1845577423,114141.4417283514,61039182286.4
2025-08-04,114223.9232850182,115071.8843242656,35783028986.15
2025-08-03,112525.8033291329,114217.6729691043,48099615825.72
2025-08-02,113320.3943575693,112526.9146425111,56870865999.63
2025-08-01,115738.9552122482,113320.0859723028,91294530181.27
2025-07-31,117833.6296441243,115758.2039287926,69370346017.86
2025-07-30,117921.994085928,117831.1913846234,68896148591.57
2025-07-29,117938.5843592765,117922.1478369023,68463107433.08
2025-07-28,119457.5219509422,117924.4729527151,64822943193.08
2025-07-27,117944.7296624648,119448.4903295397,54683390891.99
2025-07-26,117644.8440625216,117947.3662422036,48508954045.79
2025-07-25,118368.0032491776,117635.8810759376,104857024568.67
2025-07-24,118770.9814845992,118368.0032491776,72627318559.56
2025-07-23,119997.4426914491,118754.9571943315,66608604536.87
2025-07-22,117426.4981533992,119995.4155518337,79217583118.49
2025-07-21,117306.4669821287,117439.5358004276,69820091744.15
2025-07-20,117944.1092425224,117300.7857402877,57515447231.38
2025-07-19,117998.1273641834,117939.9787390508,47564562764.75
2025-07-18,119284.1117909389,118003.2244955267,77945799784.74
2025-07-17,118738.506038944,119289.8421917949,72363841798.42
2025-07-16,117777.1889947756,118738.506038944,72162029070.46
2025-07-15,119853.8484758277,117777.1889947756,98321661180.6
2025-07-14,119115.7875096413,119849.7057203147,181746419401.06
2025-07-13,117432.2008458641,119116.1175492467,49021091807.15
2025-07-12,117530.7128957262,117435.2300531511,45524560304.01
2025-07-11,115986.2347970836,117516.9936684245,86928361084.93
2025-07-10,111329.1959809476,115987.206196845,95911605727.89
2025-07-09,108950.2755431898,111326.5512690552,57927418064.83
2025-07-08,108298.2289745801,108950.2755431898,44282204126.95
2025-07-07,109235.3279895239,108299.851087593,45415696597.48
2025-07-06,108231.1838329827,109232.0697345571,36746020463.25
2025-07-05,108015.8392263224,108231.1819901941,30615537519.57
2025-07-04,109635.6551974521,108034.3390499008,42616442655.9
2025-07-03,108845.0128550604,109647.97877391,50494742269.78
2025-07-02,105703.0998551802,108859.3238682359,56248657736.96
2025-07-01,107144.3826437445,105698.2781440006,44110692246.89
2025-06-30,108383.4411795601,107135.3345105601,42064804589.76
2025-06-29,107327.8224263488,108385.5700884473,35534874438.25
2025-06-28,107090.5488566638,107327.7031808139,30037708334.64
2025-06-27,106954.9233313544,107088.4302288312,45353692674.51
2025-06-26,107375.0706392033,106960.0032689962,43891990612.71
2025-06-25,106047.4031667322,107361.260804055,51624120283.34
2025-06-24,105571.5177648119,106045.6320954752,48822986421.13
2025-06-23,100987.4731095285,105577.7720315477,65237759656.41
2025-06-22,102212.0348852842,100987.1395190547,65536997200.85
2025-06-21,103315.0806380194,102257.4086896794,38360555117.77
2025-06-20,104681.0330431643,103309.6041245223,50951862476.19
2025-06-19,104886.7743015772,104684.2859524538,37333806919.54
2025-06-18,104602.0686346703,104883.3269261613,47318089133.08
2025-06-17,106794.1209051091,104601.1168292626,55964092175.52
2025-06-16,105555.5929058888,106796.7571986886,50366626944.57
2025-06-15,105464.8400737681,105552.026954677,36744307741.93
2025-06-14,106108.0852363253,105472.4086528859,38007870452.64
2025-06-13,105924.5905607751,106090.9663946604,69550440845.69
2025-06-12,108685.9104296005,105929.0512627296,54843867967.5
2025-06-11,110261.7962567653,108686.6276821388,50842662052.1
2025-06-10,110295.6876534883,110257.2377123657,54700101508.91
2025-06-09,105793.0211746812,110294.0991055733,55903193732.46
2025-06-08,105617.5094444598,105793.6502275275,36626232327.83
